service_id,date,exception_type
"MF10-14-302-aus","20251010","2"
"MF10-14-303-aus","20250725","2"
"MF10-14-303-aus","20250801","2"
"MF10-14-303-aus","20250808","2"
"MF10-14-303-aus","20250815","2"
"MF10-14-303-aus","20250822","2"
"MF10-14-303-aus","20250829","2"
"MF10-14-303-aus","20250905","2"
"MF10-14-303-aus","20250912","2"
"MF10-14-303-aus","20250919","2"
"MF10-14-303-aus","20250926","2"
"MF10-14-303-aus","20251003","2"
"MF10-14-303-aus","20251010","2"
"MF10-14-304-aus","20250725","2"
"MF10-14-304-aus","20250801","2"
"MF10-14-304-aus","20250808","2"
"MF10-14-304-aus","20250815","2"
"MF10-14-304-aus","20250822","2"
"MF10-14-304-aus","20250829","2"
"MF10-14-304-aus","20250905","2"
"MF10-14-304-aus","20250912","2"
"MF10-14-304-aus","20250919","2"
"MF10-14-304-aus","20250926","2"
"MF10-14-304-aus","20251003","2"
"MF10-14-304-aus","20251010","2"
"MF10-14-305-aus","20250725","2"
"MF10-14-305-aus","20250801","2"
"MF10-14-305-aus","20250808","2"
"MF10-14-305-aus","20250815","2"
"MF10-14-305-aus","20250822","2"
"MF10-14-305-aus","20250829","2"
"MF10-14-305-aus","20250905","2"
"MF10-14-305-aus","20250912","2"
"MF10-14-305-aus","20250919","2"
"MF10-14-305-aus","20250926","2"
"MF10-14-305-aus","20251003","2"
"MF10-14-305-aus","20251010","2"
"MF10-14-309-aus","20250725","2"
"MF10-14-309-aus","20250801","2"
"MF10-14-309-aus","20250808","2"
"MF10-14-309-aus","20250815","2"
"MF10-14-309-aus","20250822","2"
"MF10-14-309-aus","20250829","2"
"MF10-14-309-aus","20250905","2"
"MF10-14-309-aus","20250912","2"
"MF10-14-309-aus","20250919","2"
"MF10-14-309-aus","20250926","2"
"MF10-14-309-aus","20251003","2"
"MF10-14-309-aus","20251010","2"
"MF10-14-318-aus","20250725","2"
"MF10-14-318-aus","20250801","2"
"MF10-14-318-aus","20250808","2"
"MF10-14-318-aus","20250815","2"
"MF10-14-318-aus","20250822","2"
"MF10-14-318-aus","20250829","2"
"MF10-14-318-aus","20250905","2"
"MF10-14-318-aus","20250912","2"
"MF10-14-318-aus","20250919","2"
"MF10-14-318-aus","20250926","2"
"MF10-14-318-aus","20251003","2"
"MF10-14-318-aus","20251010","2"
"MF10-14-364-aus","20250725","2"
"MF10-14-364-aus","20250801","2"
"MF10-14-364-aus","20250808","2"
"MF10-14-364-aus","20250815","2"
"MF10-14-364-aus","20250822","2"
"MF10-14-364-aus","20250829","2"
"MF10-14-364-aus","20250905","2"
"MF10-14-364-aus","20250912","2"
"MF10-14-364-aus","20250919","2"
"MF10-14-364-aus","20250926","2"
"MF10-14-364-aus","20251003","2"
"MF10-14-364-aus","20251010","2"
"MF10-14-370-aus","20250725","2"
"MF10-14-370-aus","20250801","2"
"MF10-14-370-aus","20250808","2"
"MF10-14-370-aus","20250815","2"
"MF10-14-370-aus","20250822","2"
"MF10-14-370-aus","20250829","2"
"MF10-14-370-aus","20250905","2"
"MF10-14-370-aus","20250912","2"
"MF10-14-370-aus","20250919","2"
"MF10-14-370-aus","20250926","2"
"MF10-14-370-aus","20251003","2"
"MF10-14-370-aus","20251010","2"
"MF10-14-668-aus","20250725","2"
"MF10-14-668-aus","20250801","2"
"MF10-14-668-aus","20250808","2"
"MF10-14-668-aus","20250815","2"
"MF10-14-668-aus","20250822","2"
"MF10-14-668-aus","20250829","2"
"MF10-14-668-aus","20250905","2"
